question_id,question,category,label_status,baseline_top5_sources,baseline_coverage,baseline_dup_ratio,optimized_top5_sources,optimized_coverage,optimized_dup_ratio,relevant_files,error,baseline_hit5,baseline_recall5,optimized_hit5,optimized_recall5
q012,声音在人体组织中的传播模型有哪些？如何影响体表听诊信号？,声音传播与组织建模,matched,hession和mccormack 2023 modelling the acoustic transmission of biological tissue at low frequencies; hession和mccormack 2023 modelling the acoustic transmission of biological tissue at low frequencies; hession和mccormack 2023 modelling the acoustic transmission of biological tissue at low frequencies; hession和mccormack 2023 modelling the acoustic transmission of biological tissue at low frequencies; pandia 等 2010 physical modeling of low frequency sound propagation through human thoracic tissue,2,0.6,hession和mccormack 2023 modelling the acoustic transmission of biological tissue at low frequencies; pandia 等 2010 physical modeling of low frequency sound propagation through human thoracic tissue; khalili 等 2018 a coupled cfd fea study of the sound generated in a stenosed artery and transmitted through tissue l; narasimhan 等 2004 a high resolution computer model for sound propagation in the human thorax based on the visible huma; royston 等 modeling sound transmission through the pulmonary system and chest with application to diagnosis of,5,0.0,Seo和Mittal_-_2012_-_A_coupled_flow-acoustic_computational_study_of_bruits_from_a_modeled_stenosed_artery.md;Khalili_等_-_2018_-_A_coupled_CFD-FEA_study_of_the_sound_generated_in_a_stenosed_artery_and_transmitted_through_tissue_l.md;Hession和Mccormack_-_2023_-_Modelling_the_acoustic_transmission_of_biological_tissue_at_low_frequencies.md;Tommasin_等_-_2019_-_Physics_of_within-tissue_wave_propagation_generated_by_pulse_propagation_in_the_carotid_artery.md,,1,0.25,1,0.5
q013,低频声音在胸腔和血管周围组织中的传播特性是什么？,声音传播与组织建模,matched,pandia 等 2010 physical modeling of low frequency sound propagation through human thoracic tissue; narasimhan 等 2004 a high resolution computer model for sound propagation in the human thorax based on the visible huma; hession和mccormack 2023 modelling the acoustic transmission of biological tissue at low frequencies; royston 等 modeling sound transmission through the pulmonary system and chest with application to diagnosis of; narasimhan 等 2004 a high resolution computer model for sound propagation in the human thorax based on the visible huma,4,0.19999999999999996,pandia 等 2010 physical modeling of low frequency sound propagation through human thoracic tissue; narasimhan 等 2004 a high resolution computer model for sound propagation in the human thorax based on the visible huma; hession和mccormack 2023 modelling the acoustic transmission of biological tissue at low frequencies; royston 等 modeling sound transmission through the pulmonary system and chest with application to diagnosis of; khalili 等 2018 a coupled cfd fea study of the sound generated in a stenosed artery and transmitted through tissue l,5,0.0,Pandia_等_-_2010_-_Physical_modeling_of_low-frequency_sound_propagation_through_human_thoracic_tissue.md;Narasimhan_等_-_2004_-_A_high_resolution_computer_model_for_sound_propagation_in_the_human_thorax_based_on_the_visible_huma.md;Wodicka_等_-_1989_-_A_model_of_acoustic_transmission_in_the_respiratory_system.md;Hession和Mccormack_-_2023_-_Modelling_the_acoustic_transmission_of_biological_tissue_at_low_frequencies.md,,1,0.75,1,0.75
q014,无创血管听诊技术使用了哪些传感器和采集方法？,听诊与血管声音采集,matched,hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; khalili 等 2021 spectral decomposition of the flow and characterization of the sound signals through stenoses with d; 2021 acoustic bruit transduction interface for non invasive vascular access monitoring; 2021 acoustic bruit transduction interface for non invasive vascular access monitoring; ota 等 2020 evaluation of hemodialysis arteriovenous bruit by deep learning,4,0.19999999999999996,hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; khalili 等 2021 spectral decomposition of the flow and characterization of the sound signals through stenoses with d; 2021 acoustic bruit transduction interface for non invasive vascular access monitoring; ota 等 2020 evaluation of hemodialysis arteriovenous bruit by deep learning; song 等 2023 an effective ai model for automatically detecting arteriovenous fistula stenosis,5,0.0,2018-SKIN-COUPLED_PVDF_MICROPHONES_FOR_NONINVASIVE_VASCULAR_BLOOD_SOUND.md;2021-Acoustic_Bruit_Transduction_Interface_for_Non-Invasive_Vascular_Access_Monitoring.md;Hsien-Yi Wang 等 - 2014 - Novel noninvasive approach for detecting arteriovenous fistula stenosis.md;2019-Vascular_Stenosis_Detection_Using_Temporal-Spectral_Differences_in_Correlated_Acoustic.md;Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md,,1,0.4,1,0.4
q015,PVDF麦克风在血管声音采集中有什么优势？,听诊与血管声音采集,matched,2021 acoustic bruit transduction interface for non invasive vascular access monitoring; 2018 skin coupled pvdf microphones for noninvasive vascular blood sound; 2018 skin coupled pvdf microphones for noninvasive vascular blood sound; 2018 skin coupled pvdf microphones for noninvasive vascular blood sound; 2018 skin coupled pvdf microphones for noninvasive vascular blood sound,2,0.6,2021 acoustic bruit transduction interface for non invasive vascular access monitoring; 2018 skin coupled pvdf microphones for noninvasive vascular blood sound; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; ota 等 2020 evaluation of hemodialysis arteriovenous bruit by deep learning,5,0.0,2018-SKIN-COUPLED_PVDF_MICROPHONES_FOR_NONINVASIVE_VASCULAR_BLOOD_SOUND.md;2021-Acoustic_Bruit_Transduction_Interface_for_Non-Invasive_Vascular_Access_Monitoring.md,,1,1.0,1,1.0
q016,动静脉瘘的数值建模方法有哪些？如何模拟真实瘘管几何？,动静脉瘘建模,matched,fbioe 08 00846; numerical simulation of the fluid structure interactions in a compliant patientspecific arteriovenous fistula; numerical simulation of the fluid structure interactions in a compliant patientspecific arteriovenous fistula; numerical simulation of the fluid structure interactions in a compliant patientspecific arteriovenous fistula; numerical simulation of the fluid structure interactions in a compliant patientspecific arteriovenous fistula,2,0.6,fbioe 08 00846; numerical simulation of the fluid structure interactions in a compliant patientspecific arteriovenous fistula,2,0.6,动静脉瘘建模.md;Numerical_simulation_of_the_fluid_structure_interactions_in_a_compliant_patientspecific_arteriovenous_fistula.md,,1,1.0,1,1.0
q017,Korotkoff声音的产生机制是什么？与血管狭窄有何关联？,CFD与血流动力学,matched,seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery; seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery; seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery; a coupled flow acoustic computational study of bru; seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery,2,0.6,seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery; a coupled flow acoustic computational study of bru; khalili 等 2018 a coupled cfd fea study of the sound generated in a stenosed artery and transmitted through tissue l; ozden 等 2020 effect of stenosis shape on the sound emitted from a constricted blood vessel; zhu 等 2019 computational modeling and analysis of murmurs generated by modeled aortic stenoses,5,0.0,Baranger_等_-_2023_-_The_fundamental_mechanisms_of_the_korotkoff_sounds_generation.md;Seo和Mittal_-_2012_-_A_coupled_flow-acoustic_computational_study_of_bruits_from_a_modeled_stenosed_artery.md,,1,1.0,1,1.0
q018,血管杂音（bruit）的声学特征如何用于狭窄程度预测？,听诊与血管声音采集,matched,seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery; a coupled flow acoustic computational study of bru; seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery; seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis,3,0.4,seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery; a coupled flow acoustic computational study of bru; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; khalili 等 2018 a coupled cfd fea study of the sound generated in a stenosed artery and transmitted through tissue l; 2021 acoustic bruit transduction interface for non invasive vascular access monitoring,5,0.0,Ali_等_-_2023_-_A_CFD-FFT_approach_to_hemoacoustics_that_enables_degree_of_stenosis_prediction_from_stethoscopic_sig.md;2018-Stenosis_Characterization_and_Identification_for_Dialysis_Vascular_Access.md;Khalili_等_-_2021_-_Spectral_decomposition_of_the_flow_and_characterization_of_the_sound_signals_through_stenoses_with_d.md;Venugopal_等_-_2020_-_Computational_modeling_of_carotid_bruits.md,,0,0.0,0,0.0
q019,超声传播模型在血管成像和血流检测中如何应用？,声音传播与组织建模,matched,khalili 等 2018 a coupled cfd fea study of the sound generated in a stenosed artery and transmitted through tissue l; ozden 等 2020 effect of stenosis shape on the sound emitted from a constricted blood vessel; a coupled flow acoustic computational study of bru; a coupled flow acoustic computational study of bru; zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis,4,0.19999999999999996,khalili 等 2018 a coupled cfd fea study of the sound generated in a stenosed artery and transmitted through tissue l; ozden 等 2020 effect of stenosis shape on the sound emitted from a constricted blood vessel; a coupled flow acoustic computational study of bru; zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis; seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery,5,0.0,Shishlenin_等_-_2024_-_Nonlinear_medical_ultrasound_tomography_3D_modeling_of_sound_wave_propagation_in_human_tissues.md;Fernandes_等_-_2025_-_Experimental_validation_of_time-explicit_ultrasound_propagation_models_with_sound_diffusivity_or_vis.md;Yeh_等_-_2022_-_Development_and_validation_of_machine_learning_models_to_classify_artery_stenosis_for_automated_gene.md,,0,0.0,0,0.0
q020,透析血管通路的狭窄特征识别和监测方法有哪些？,AVF状态监测,matched,2021 acoustic bruit transduction interface for non invasive vascular access monitoring; 2018 stenosis characterization and identification for dialysis vascular access; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis,4,0.19999999999999996,2021 acoustic bruit transduction interface for non invasive vascular access monitoring; 2018 stenosis characterization and identification for dialysis vascular access; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; fbioe 08 00846,5,0.0,Hsien-Yi Wang 等 - 2014 - Novel noninvasive approach for detecting arteriovenous fistula stenosis.md;Grochowina 等 - 2019 - An application of wavelet transform for non-invasive evaluation of arteriovenous fistula state.md;Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;2021-Acoustic_Bruit_Transduction_Interface_for_Non-Invasive_Vascular_Access_Monitoring.md,,1,0.5,1,0.5
q021,颈动脉杂音和动静脉瘘杂音在声学特征上有什么异同？,听诊与血管声音采集,matched,hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; khalili 等 2018 a coupled cfd fea study of the sound generated in a stenosed artery and transmitted through tissue l; hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis,3,0.4,hsien yi wang 等 2014 novel noninvasive approach for detecting arteriovenous fistula stenosis; seo和mittal 2012 a coupled flow acoustic computational study of bruits from a modeled stenosed artery; khalili 等 2018 a coupled cfd fea study of the sound generated in a stenosed artery and transmitted through tissue l; zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis; a coupled flow acoustic computational study of bru,5,0.0,Venugopal_等_-_2020_-_Computational_modeling_of_carotid_bruits.md;Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md;2018-Stenosis_Characterization_and_Identification_for_Dialysis_Vascular_Access.md,,0,0.0,1,0.25
q022,深度学习模型中数据增强和预处理方法对AVF分类性能有什么影响？,深度学习狭窄识别,matched,song 等 2023 an effective ai model for automatically detecting arteriovenous fistula stenosis; song 等 2023 an effective ai model for automatically detecting arteriovenous fistula stenosis; park 等 2022 feasibility of deep learning based analysis of auscultation for screening significant stenosis of na; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia,3,0.4,song 等 2023 an effective ai model for automatically detecting arteriovenous fistula stenosis; park 等 2022 feasibility of deep learning based analysis of auscultation for screening significant stenosis of na; liu 等 2025 novel fusion architecture of multi location blood flow sounds for arteriovenous fistula stenosis dia; ota 等 2020 evaluation of hemodialysis arteriovenous bruit by deep learning; zhou 等 2023 deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis,5,0.0,Park 等 - 2022 - Feasibility of deep learning-based analysis of auscultation for screening significant stenosis of na.md;Zhou 等 - 2023 - Deep learning analysis of blood flow sounds to detect arteriovenous fistula stenosis.md;Song 等 - 2023 - An effective AI model for automatically detecting arteriovenous fistula stenosis.md;Ota 等 - 2020 - Evaluation of hemodialysis arteriovenous bruit by deep learning.md,,1,0.5,1,1.0
